,Method,Test,IsFlaky,project
0,11,info.archinnov.achilles.type.TypedMapTest#should_not_get_typed_when_absent,0,graphs/Achilles/0
1,15,info.archinnov.achilles.type.TypedMapTest#should_return_null_when_null_value,0,graphs/Achilles/0
2,5,info.archinnov.achilles.type.TypedMapTest#should_get_typed_when_present,0,graphs/Achilles/0
3,18,info.archinnov.achilles.type.TypedMapTest#should_get_typed_or_default,0,graphs/Achilles/0
4,19,info.archinnov.achilles.type.TypedMapTest#should_return_default,0,graphs/Achilles/0
5,20,info.archinnov.achilles.type.TypedMapTest#should_build_typed_map_from_source,0,graphs/Achilles/0
6,3,info.archinnov.achilles.type.CounterBuilderTest#should_incr,0,graphs/Achilles/0
7,14,info.archinnov.achilles.type.CounterBuilderTest#should_be_able_to_serialize_and_deserialize_null_counter,0,graphs/Achilles/0
8,6,info.archinnov.achilles.type.CounterBuilderTest#should_incr_n,0,graphs/Achilles/0
9,8,info.archinnov.achilles.type.CounterBuilderTest#should_decr,0,graphs/Achilles/0
10,9,info.archinnov.achilles.type.CounterBuilderTest#should_decr_n,0,graphs/Achilles/0
11,10,info.archinnov.achilles.type.CounterBuilderTest#should_be_able_to_serialize_and_deserialize_counter_impl,0,graphs/Achilles/0
0,11,info.archinnov.achilles.junit.AchillesResourceBuilderTest#should_bootstrap_embedded_server_and_entity_manager,0,graphs/Achilles/1
1,27,info.archinnov.achilles.junit.AchillesResourceBuilderTest#should_create_resource_with_a_distinct_keyspace,0,graphs/Achilles/1
2,19,info.archinnov.achilles.junit.AchillesResourceBuilderTest#should_create_resources_once,0,graphs/Achilles/1
3,23,info.archinnov.achilles.junit.AchillesResourceTest#should_create_resources_once,0,graphs/Achilles/1
4,13,info.archinnov.achilles.junit.AchillesResourceTest#should_bootstrap_embedded_server_and_entity_manager,0,graphs/Achilles/1
5,12,info.archinnov.achilles.junit.AchillesTestResourceTest#should_trigger_before_and_after_when_steps_is_both,0,graphs/Achilles/1
6,25,info.archinnov.achilles.junit.AchillesTestResourceTest#should_trigger_only_before_when_steps_is_before,0,graphs/Achilles/1
